,operation,pc_ip,plc_name,plc_ip
0,OP10,10.141.44.26,PLC1,10.141.44.11
1,OP20,10.141.44.27,PLC1,10.141.44.11
2,OP30,10.141.44.28,PLC1,10.141.44.11
3,OP40,10.141.44.29,PLC1,10.141.44.11
4,OP50,10.141.44.60,PLC2,10.141.44.39
5,OP60,10.141.44.61,PLC2,10.141.44.39
6,OP70,10.141.44.62,PLC2,10.141.44.39
7,OP80,10.141.44.63,PLC2,10.141.44.39
8,OP90,10.141.44.64,PLC2,10.141.44.39
9,OP100,10.141.44.65,PLC2,10.141.44.39
10,OP110,10.141.44.89,PLC3,10.141.44.77
11,OP120,10.141.44.90,PLC3,10.141.44.77
12,OP130,10.141.44.91,PLC3,10.141.44.77
13,OP260,10.141.44.92,PLC3,10.141.44.77
14,OP140,10.141.44.117,PLC4,10.141.44.102
15,OP150,10.141.44.118,PLC4,10.141.44.102
16,OP160,10.141.44.119,PLC4,10.141.44.102
17,OP170,10.141.44.120,PLC4,10.141.44.102
18,OP180,10.141.44.151,PLC5,10.141.44.130
19,OP190,10.141.44.152,PLC5,10.141.44.130
20,OP200,10.141.44.153,PLC5,10.141.44.130
21,OP210,10.141.44.154,PLC5,10.141.44.130
22,OP220,10.141.44.155,PLC5,10.141.44.130
23,OP270,10.141.44.156,PLC5,10.141.44.130
24,OP280,10.141.44.183,PLC6,10.141.44.168
25,OP290,10.141.44.184,PLC6,10.141.44.168
26,OP300,10.141.44.185,PLC6,10.141.44.168
27,OP310,10.141.44.186,PLC6,10.141.44.168
